2017-03,2017-04,2018-03,2018-04
18.360000000000003,17.36,22.119999999999997,24.919999999999998
17.32,18.88,23.380000000000003,24.580000000000002
18.24,20.78,24.119999999999997,24.68
20.339999999999996,22.04,25.3,25.040000000000003
22.139999999999997,23.44,24.880000000000003,25.639999999999997
19.080000000000002,24.1,19.88,22.24
16.26,24.700000000000003,20.8,17.22
15.5,25.799999999999994,15.5,20.4
18.520000000000003,26.359999999999996,14.620000000000001,21.919999999999998
20.36,28.060000000000002,17.259999999999998,23.84
21.240000000000002,24.42,19.22,26.119999999999997
22.66,20.22,19.82,26.360000000000003
22.28,19.939999999999998,20.9,27.240000000000002
17.380000000000003,23.119999999999997,22.68,27.46
18.339999999999996,25.419999999999998,22.32,23.06
18.5,26.479999999999997,21.94,21.740000000000002
20.22,27.4,21.400000000000002,20.459999999999997
21.82,27.0,22.72,22.5
22.18,26.78,24.279999999999998,24.98
23.54,26.72,21.54,25.559999999999995
22.3,26.3,17.44,26.259999999999998
22.2,20.04,17.2,27.380000000000003
21.919999999999998,21.1,19.8,27.9
22.6,22.92,21.18,25.28
19.880000000000003,24.839999999999996,22.419999999999998,23.639999999999997
15.8,25.8,22.44,24.720000000000002
20.4,20.400000000000002,22.36,25.360000000000003
21.939999999999998,20.7,23.4,25.839999999999996
22.7,22.62,24.22,26.619999999999997
23.46,24.2,24.0,27.32
21.7,,24.359999999999996,
